Event,Time,Date,Party,Agenda,Location
dentist appointment,7pm,friday,father,-,-
doctor appointment,10am,the 17th,sister,-,-
doctor appointment,3 pm,thursday,-,-,-
dentist appointment,1 pm,wednesday,-,-,-
optometrist appointment,11 am,friday,-,-,-
dinner,5 pm,tuesday,-,-,-
football activity,10 am,friday,-,-,-
tennis activity,10 am,wednesday,-,-,-
dentist appointment,3pm,the 13th,aunt,-,-
yoga activity,9am,the 7th,Jon,-,-
meeting,5pm,the 16th,management,discuss the merger,conference room 50
conference,1pm,the 15th,executive team,go over budget,100 conference room
conference,5pm,the 20th,executive team,go over budget,100 conference room
swimming activity,11am,the 17th,Alex,-,-
dentist appointment,9am,the 18th,Jon,-,-
optometrist appointment,3pm,the 2nd,mother,-,-
optometrist appointment,7pm,the 13th,Ana,-,-
taking medicine,7pm,the 12th,Jeff,-,-
taking medicine,11am,the 7th,Marie,-,-
conference,10am,the 17th,executive team,go over budget,conference room 100
swimming activity,10am,the 8th,Alex,-,-
dinner,6pm,the 20th,Jon,-,-
optometrist appointment,5pm,the 4th,aunt,-,-
dentist appointment,4pm,sunday,Alex,-,-
conference,9am,saturday,sales team,discuss the company picnic,conference room 102
conference,6pm,wednesday,sales team,go over budget,conference room 50
optometrist appointment,4pm,sunday,Jon,-,-
football activity,9am,thursday,Marie,-,-
lab appointment,9am,the 13th,Tom,-,-
football activity,6pm,thursday,Jeff,-,-
optometrist appointment,1pm,thursday,Jeff,-,-
meeting,11am,tuesday,boss,discuss the company picnic,conference room 50
optometrist appointment,5pm,sunday,Tom,-,-
yoga activity,7pm,tuesday,Martha,-,-
taking medicine,10am,the 5th,Martha,-,-
football activity,11am,the 13th,mother,-,-
dentist appointment,4pm,friday,sister,-,-
doctor appointment,11am,the 3rd,brother,-,-
meeting,7 pm,wednesday,executive team,go over budget,conference room 100
dentist appointment,1 pm,friday,-,-,-
tennis activity,2 pm,thursday,-,-,-
dinner,5 pm,wednesday,-,-,-
swimming activity,2 pm,tuesday,-,-,-
doctor appointment,1 pm,tuesday,-,-,-
medicine,11 am,wednesday,-,-,-
swimming activity,2 pm,wednesday,-,-,-
dinner,5 pm,friday,-,-,-
optometrist appointment,11 am,tuesday,-,-,-
yoga activity,3 pm,friday,-,-,-
doctor appointment,11 am,tuesday,-,-,-
football activity,10am,the 10th,Jon,-,-
swimming activity,3pm,the 5th,Alex,-,-
tennis activity,3pm,saturday,Jon,-,-
conference,6pm,sunday,vice president,go over quarterly report,conference room 100
optometrist appointment,4pm,saturday,Alex,-,-
dentist appointment,9am,the 8th,sister,-,-
doctor appointment,3 pm,wednesday,-,-,-
dinner,5 pm,wednesday,-,-,-
swimming activity,3 pm,friday,-,-,-
lab appointment,10 am,wednesday,-,-,-
dentist appointment,7 pm,wednesday,-,-,-
meeting,11 am,wednesday,executive team,discuss the merger,conference room 50
dinner,7pm,the 6th,Alex,-,-
dentist appointment,9am,the 8th,Alex,-,-
football activity,4pm,the 16th,Tom,-,-
dinner,8pm,the 4th,Jon,-,-
football activity,2pm,the 19th,Marie,-,-
football activity,3pm,the 16th,Tom,-,-
dentist appointment,5pm,the 19th,Marie,-,-
swimming activity,4pm,the 19th,brother,-,-
yoga activity,3 pm,tuesday,-,-,-
conference,10 am,friday,infrastructure team,go over budget,conference room 102
dentist appointment,10 am,wednesday,-,-,-
dentist,2 pm,thursday,-,-,-
optometrist appointment,7 pm,monday,-,-,-
doctor appointment,10 am,monday,-,-,-
optometrist appointment,3 pm,thursday,-,-,-
meeting,1 pm,thursday,sales team,discuss the company picnic,conference room 50
yoga activity,2 pm,friday,-,-,-
dinner,5 pm,monday,-,-,-
tennis activity,7 pm,monday,-,-,-
swimming activity,3 pm,friday,-,-,-
taking medicine,6pm,the 9th,Jon,-,-
football activity,11am,the 20th,Alex,-,-
taking medicine,4pm,thursday,Tom,-,-
optometrist appointment,5pm,sunday,Alex,-,-
conference,7pm,the 1st,management,go over budget,conference room 50
optometrist appointment,2pm,the 12th,Jeff,-,-
lab appointment,7pm,the 8th,Martha,-,-
lab appointment,5pm,the 3rd,Marie,-,-
dentist,7 pm,wednesday,-,-,-
conference,10 am,thursday,infrastructure team,discuss the company picnic,conference room 102
optometrist appointment,7 pm,friday,-,-,-
medicine,10 am,wednesday,-,-,-
meeting,2 pm,friday,infrastructure team,discuss the company picnic,conference room 100
tennis activity,10 am,tuesday,-,-,-
football activity,1pm,the 6th,Martha,-,-
doctor appointment,1pm,thursday,Jeff,-,-
football activity,5pm,the 12th,Marie,-,-
doctor appointment,9am,the 14th,mother,-,-
dinner,7pm,friday,Jon,-,-
football activity,1pm,the 12th,father,-,-
football activity,4pm,the 17th,Jon,-,-
football activity,5pm,friday,Jon,-,-
swimming activity,7pm,the 4th,aunt,-,-
meeting,4pm,friday,management,discuss dress code,100 conference room
optometrist appointment,5pm,the 5th,mother,-,-
football activity,11am,friday,Marie,-,-
football activity,9am,the 8th,Marie,-,-
meeting,7pm,friday,management,sign the NDA,conference room 102
yoga activity,10am,tuesday,Alex,-,-
dentist appointment,3pm,wednesday,Jeff,-,-
dentist appointment,4pm,monday,father,-,-
dentist appointment,1pm,the 12th,aunt,-,-
doctor appointment,4pm,the 1st,father,-,-
tennis activity,5pm,the 16th,brother,-,-
dinner,5pm,the 12th,Ana,-,-
tennis activity,7pm,the 6th,aunt,-,-
taking medicine,1pm,the 20th,Ana,-,-
yoga activity,7pm,thursday,Ana,-,-
yoga activity,2 pm,monday,-,-,-
doctor appointment,3 pm,tuesday,-,-,-
tennis activity,11 am,tuesday,-,-,-
meeting,7 pm,tuesday,executive team,discuss the company picnic,100 conference room
dinner,5 pm,thursday,-,-,-
dentist,1 pm,thursday,-,-,-
dentist,10 am,monday,-,-,-
dinner,5 pm,wednesday,-,-,-
dentist appointment,3 pm,thursday,-,-,-
meeting,10 am,monday,sales team,discuss the merger,conference room 102
lab appointment,2 pm,monday,-,-,-
conference,3 pm,tuesday,infrastructure team,go over budget,conference room 50
optometrist appointment,2pm,the 13th,brother,-,-
dentist appointment,2pm,thursday,Marie,-,-
taking medicine,10am,tuesday,Tom,-,-
football activity,9am,sunday,Alex,-,-
lab appointment,5pm,the 4th,Tom,-,-
dinner,7pm,wednesday,Jon,-,-
lab appointment,9am,the 8th,Martha,-,-
swimming activity,10am,the 15th,mother,-,-
optometrist appointment,7pm,thursday,Marie,-,-
conference,3pm,the 10th,boss,discuss the merger,conference room 102
tennis activity,4pm,the 4th,Alex,-,-
swimming activity,4pm,friday,Jeff,-,-
lab appointment,5pm,wednesday,Jon,-,-
swimming activity,5pm,the 17th,father,-,-
dinner,5pm,monday,sister,-,-
swimming activity,10am,tuesday,aunt,-,-
swimming activity,1pm,the 20th,mother,-,-
yoga activity,2pm,sunday,Jon,-,-
dentist appointment,1pm,saturday,aunt,-,-
lab appointment,11am,the 11th,aunt,-,-
lab appointment,1pm,the 8th,Alex,-,-
swimming activity,5pm,the 7th,aunt,-,-
yoga activity,2pm,the 5th,Tom,-,-
lab appointment,2pm,the 17th,sister,-,-
lab appointment,6pm,the 10th,brother,-,-
conference,9am,the 10th,infrastructure team,go over budget,100 conference room
lab appointment,7pm,the 12th,Jeff,-,-
dinner,7pm,the 7th,Ana,-,-
doctor appointment,2pm,thursday,mother,-,-
yoga activity,3pm,the 1st,Martha,-,-
meeting,4pm,the 6th,executive team,discuss the company picnic,conference room 50
meeting,9am,friday,management,onboard new members,100 conference room
tennis activity,6pm,monday,Jeff,-,-
swimming activity,5pm,the 5th,mother,-,-
meeting,10am,saturday,boss,go over quarterly report,conference room 50
lab appointment,3pm,the 6th,Marie,-,-
doctor appointment,6pm,the 18th,Jeff,-,-
conference,3pm,the 14th,boss,go over quarterly report,conference room 50
conference,10am,the 3rd,vice president,discuss the merger,conference room 102
dentist appointment,7pm,the 5th,aunt,-,-
football activity,7pm,the 8th,Tom,-,-
optometrist appointment,11am,the 5th,mother,-,-
lab appointment,10am,wednesday,Alex,-,-
yoga activity,6pm,thursday,sister,-,-
dentist appointment,3pm,the 17th,Jeff,-,-
taking medicine,4pm,the 6th,Ana,-,-
football activity,5pm,saturday,Ana,-,-
yoga activity,7pm,thursday,Jon,-,-
swimming activity,1pm,the 8th,aunt,-,-
swimming activity,6pm,the 8th,Jeff,-,-
meeting,11am,tuesday,HR,sign the NDA,conference room 100
swimming activity,11am,the 11th,father,-,-
swimming activity,2 pm,monday,-,-,-
optometrist appointment,7 pm,friday,-,-,-
medicine,1 pm,thursday,-,-,-
dentist,3 pm,tuesday,-,-,-
lab appointment,7 pm,thursday,-,-,-
dentist appointment,2 pm,friday,-,-,-
yoga activity,5pm,tuesday,brother,-,-
lab appointment,11am,the 14th,mother,-,-
swimming activity,9am,the 9th,sister,-,-
conference,7pm,saturday,vice president,go over budget,conference room 50
taking medicine,2pm,the 19th,Ana,-,-
optometrist appointment,10am,the 2nd,Alex,-,-
lab appointment,1pm,the 11th,Jon,-,-
dentist appointment,9am,the 6th,aunt,-,-
lab appointment,2 pm,thursday,-,-,-
medicine,1 pm,wednesday,-,-,-
tennis activity,2 pm,tuesday,-,-,-
doctor appointment,2 pm,wednesday,-,-,-
meeting,10 am,thursday,HR,discuss the merger,100 conference room
conference,11 am,friday,HR,discuss the merger,100 conference room
conference,1pm,the 13th,executive team,discuss the company picnic,conference room 50
swimming activity,6pm,thursday,Alex,-,-
tennis activity,4pm,tuesday,brother,-,-
optometrist appointment,2pm,the 5th,father,-,-
doctor appointment,4pm,the 4th,sister,-,-
dentist appointment,2pm,wednesday,father,-,-
meeting,2 pm,wednesday,HR,discuss the company picnic,100 conference room
optometrist appointment,3 pm,thursday,-,-,-
dinner,5 pm,monday,-,-,-
doctor appointment,1 pm,wednesday,-,-,-
football activity,3 pm,friday,-,-,-
dentist,11 am,wednesday,-,-,-
swimming activity,1 pm,tuesday,-,-,-
dinner,5 pm,thursday,-,-,-
doctor appointment,11 am,wednesday,-,-,-
conference,3 pm,friday,executive team,discuss the merger,conference room 50
tennis activity,7 pm,friday,-,-,-
lab appointment,3 pm,wednesday,-,-,-
dentist,3 pm,wednesday,-,-,-
yoga activity,11 am,tuesday,-,-,-
meeting,3 pm,tuesday,executive team,discuss the merger,conference room 100
swimming activity,2 pm,wednesday,-,-,-
football activity,3 pm,monday,-,-,-
dentist appointment,2 pm,friday,-,-,-
dentist appointment,2pm,the 13th,Ana,-,-
optometrist appointment,1pm,tuesday,mother,-,-
dinner,5pm,tuesday,Jeff,-,-
tennis activity,10am,thursday,Marie,-,-
dentist appointment,10am,tuesday,Ana,-,-
doctor appointment,5pm,saturday,aunt,-,-
tennis activity,1pm,monday,Tom,-,-
yoga activity,9am,the 8th,Alex,-,-
football activity,5pm,the 19th,Marie,-,-
meeting,9am,the 7th,HR,sign the NDA,100 conference room
taking medicine,1pm,the 3rd,Tom,-,-
dentist appointment,11am,the 18th,brother,-,-
doctor appointment,1pm,the 8th,aunt,-,-
swimming activity,2pm,the 6th,Jeff,-,-
doctor appointment,5pm,wednesday,Jon,-,-
yoga activity,10am,the 16th,sister,-,-
meeting,11am,tuesday,infrastructure team,discuss the merger,conference room 50
dinner,5pm,the 20th,mother,-,-
meeting,10am,the 14th,executive team,discuss the company picnic,conference room 102
lab appointment,7pm,the 17th,aunt,-,-
doctor appointment,4pm,the 18th,Jeff,-,-
dentist appointment,2pm,tuesday,aunt,-,-
dinner,5pm,tuesday,Jon,-,-
dinner,8pm,the 13th,Jon,-,-
tennis activity,1 pm,wednesday,-,-,-
conference,3 pm,friday,HR,discuss the company picnic,conference room 100
doctor appointment,10 am,monday,-,-,-
optometrist appointment,11 am,tuesday,-,-,-
dinner,5 pm,wednesday,-,-,-
football activity,10 am,thursday,-,-,-
dinner,7pm,the 5th,Jon,-,-
tennis activity,6pm,friday,sister,-,-
dentist appointment,6pm,the 10th,Marie,-,-
doctor appointment,2pm,the 5th,mother,-,-
optometrist appointment,5pm,the 4th,Martha,-,-
taking medicine,9am,the 8th,Alex,-,-
yoga activity,3pm,sunday,Martha,-,-
dentist appointment,3pm,monday,Alex,-,-
dinner,6pm,the 10th,aunt,-,-
doctor appointment,5pm,monday,Tom,-,-
taking medicine,6pm,the 5th,mother,-,-
football activity,4pm,monday,brother,-,-
dentist appointment,3pm,the 12th,mother,-,-
football activity,6pm,the 13th,sister,-,-
dentist appointment,2pm,the 15th,mother,-,-
optometrist appointment,4pm,the 9th,Marie,-,-
optometrist appointment,9am,the 2nd,brother,-,-
meeting,2pm,tuesday,infrastructure team,sign the NDA,conference room 100
taking medicine,1pm,the 18th,Ana,-,-
swimming activity,5pm,saturday,Jeff,-,-
swimming activity,6pm,the 7th,mother,-,-
taking medicine,2pm,the 19th,brother,-,-
yoga activity,1pm,the 3rd,Jon,-,-
yoga activity,1pm,the 16th,aunt,-,-
conference,10am,the 1st,sales team,go over quarterly report,100 conference room
doctor appointment,2pm,the 3rd,Alex,-,-
swimming activity,9am,the 18th,Ana,-,-
doctor appointment,9am,the 17th,Jeff,-,-
lab appointment,11 am,thursday,-,-,-
dentist appointment,1 pm,wednesday,-,-,-
doctor appointment,11 am,monday,-,-,-
meeting,11 am,friday,executive team,go over budget,100 conference room
dinner,5 pm,monday,-,-,-
football activity,2 pm,friday,-,-,-
taking medicine,7pm,the 3rd,brother,-,-
swimming activity,4pm,the 19th,sister,-,-
football activity,6pm,the 9th,aunt,-,-
doctor appointment,5pm,the 13th,Martha,-,-
football activity,4pm,the 8th,Jeff,-,-
swimming activity,9am,the 8th,Tom,-,-
football activity,10am,the 15th,father,-,-
football activity,6pm,the 12th,aunt,-,-
dinner,5 pm,tuesday,-,-,-
lab appointment,10 am,monday,-,-,-
yoga activity,2 pm,tuesday,-,-,-
meeting,10 am,tuesday,HR,go over budget,conference room 102
dentist,7 pm,friday,-,-,-
doctor appointment,10 am,thursday,-,-,-
doctor appointment,10am,the 15th,Jon,-,-
doctor appointment,9am,saturday,aunt,-,-
conference,4pm,saturday,HR,go over budget,conference room 102
dentist appointment,9am,the 5th,sister,-,-
lab appointment,7pm,thursday,Alex,-,-
dentist appointment,2pm,the 13th,mother,-,-
dentist appointment,7pm,the 13th,Jeff,-,-
optometrist appointment,5pm,thursday,Jon,-,-
doctor appointment,7 pm,thursday,-,-,-
optometrist appointment,7 pm,wednesday,-,-,-
tennis activity,2 pm,thursday,-,-,-
football activity,10 am,monday,-,-,-
conference,3 pm,thursday,executive team,discuss the company picnic,conference room 50
meeting,10 am,thursday,infrastructure team,discuss the merger,conference room 50
swimming activity,3pm,the 13th,Jeff,-,-
yoga activity,9am,sunday,Martha,-,-
football activity,7pm,thursday,brother,-,-
meeting,10am,monday,executive team,go over budget,conference room 102
football activity,3pm,the 5th,Jon,-,-
dentist appointment,7pm,tuesday,Alex,-,-
swimming activity,1pm,friday,mother,-,-
lab appointment,6pm,wednesday,aunt,-,-
swimming activity,2pm,sunday,brother,-,-
conference,6pm,the 10th,sales team,discuss dress code,conference room 100
meeting,7pm,the 4th,executive team,discuss the merger,100 conference room
tennis activity,11am,sunday,Alex,-,-
football activity,1pm,thursday,Jeff,-,-
conference,3pm,wednesday,executive team,go over quarterly report,conference room 102
dentist appointment,7pm,sunday,Ana,-,-
swimming activity,11am,the 13th,Marie,-,-
lab appointment,4pm,monday,father,-,-
yoga activity,3pm,thursday,Martha,-,-
meeting,3pm,tuesday,infrastructure team,discuss the company picnic,conference room 102
dinner,6pm,the 8th,aunt,-,-
football activity,2pm,sunday,Tom,-,-
swimming activity,6pm,the 10th,father,-,-
yoga activity,7 pm,thursday,-,-,-
medicine,1 pm,friday,-,-,-
doctor appointment,7 pm,thursday,-,-,-
conference,2 pm,wednesday,executive team,discuss the company picnic,conference room 100
dentist,2 pm,friday,-,-,-
lab appointment,1 pm,monday,-,-,-
swimming activity,9am,the 20th,aunt,-,-
conference,10am,the 2nd,management,go over budget,conference room 100
football activity,4pm,the 8th,mother,-,-
football activity,4pm,the 14th,Martha,-,-
dentist appointment,10am,the 6th,sister,-,-
dentist appointment,2pm,the 16th,sister,-,-
optometrist appointment,2pm,the 8th,Ana,-,-
tennis activity,1pm,the 18th,Marie,-,-
doctor appointment,7 pm,wednesday,-,-,-
medicine,10 am,monday,-,-,-
dentist appointment,7 pm,tuesday,-,-,-
lab appointment,10 am,monday,-,-,-
yoga activity,10 am,wednesday,-,-,-
dentist,2 pm,wednesday,-,-,-
medicine,11 am,wednesday,-,-,-
swimming activity,1 pm,thursday,-,-,-
tennis activity,11 am,thursday,-,-,-
football activity,1 pm,wednesday,-,-,-
dentist appointment,2 pm,friday,-,-,-
conference,10 am,wednesday,infrastructure team,go over budget,conference room 50
swimming activity,9am,the 8th,brother,-,-
taking medicine,2pm,sunday,Martha,-,-
lab appointment,10am,the 8th,mother,-,-
tennis activity,5pm,monday,Martha,-,-
optometrist appointment,1pm,the 8th,Martha,-,-
dinner,5pm,sunday,Tom,-,-
doctor appointment,3 pm,thursday,-,-,-
dentist,2 pm,friday,-,-,-
dinner,5 pm,friday,-,-,-
swimming activity,1 pm,monday,-,-,-
medicine,2 pm,wednesday,-,-,-
yoga activity,7 pm,thursday,-,-,-
yoga activity,11am,the 8th,aunt,-,-
yoga activity,1pm,thursday,Jeff,-,-
optometrist appointment,6pm,the 8th,brother,-,-
taking medicine,1pm,the 5th,Marie,-,-
swimming activity,4pm,the 12th,Jeff,-,-
conference,5pm,monday,boss,discuss the company picnic,100 conference room
yoga activity,5pm,the 2nd,father,-,-
conference,9am,the 9th,management,go over budget,conference room 50
tennis activity,5pm,the 15th,aunt,-,-
optometrist appointment,5pm,the 1st,Martha,-,-
optometrist appointment,7pm,the 18th,Jeff,-,-
dinner,7pm,the 1st,sister,-,-
dentist appointment,5pm,the 16th,mother,-,-
swimming activity,5pm,the 7th,brother,-,-
optometrist appointment,1pm,the 20th,Martha,-,-
doctor appointment,9am,the 6th,Jon,-,-
dentist appointment,10 am,thursday,-,-,-
conference,2 pm,wednesday,executive team,discuss the merger,conference room 50
tennis activity,7 pm,tuesday,-,-,-
optometrist appointment,2 pm,thursday,-,-,-
swimming activity,3 pm,wednesday,-,-,-
yoga activity,10 am,friday,-,-,-
swimming activity,2pm,thursday,Jeff,-,-
football activity,7pm,the 2nd,Martha,-,-
lab appointment,3pm,friday,Marie,-,-
yoga activity,7pm,the 1st,Jeff,-,-
yoga activity,10am,the 5th,Marie,-,-
swimming activity,7pm,the 16th,Jeff,-,-
optometrist appointment,9am,the 16th,aunt,-,-
meeting,11am,the 18th,HR,go over quarterly report,conference room 102
football activity,5pm,the 20th,father,-,-
meeting,4pm,the 4th,sales team,go over quarterly report,conference room 102
tennis activity,9am,the 7th,Ana,-,-
tennis activity,1pm,the 1st,Ana,-,-
dinner,7pm,the 1st,Martha,-,-
dentist appointment,3pm,the 15th,Tom,-,-
swimming activity,4pm,the 10th,Alex,-,-
conference,2pm,the 18th,sales team,sign the NDA,conference room 102
meeting,1 pm,wednesday,executive team,go over budget,conference room 100
dinner,5 pm,monday,-,-,-
dentist,3 pm,tuesday,-,-,-
conference,7 pm,wednesday,executive team,discuss the company picnic,conference room 100
tennis activity,3 pm,tuesday,-,-,-
swimming activity,1 pm,thursday,-,-,-
doctor appointment,7 pm,friday,-,-,-
meeting,3 pm,wednesday,HR,go over budget,conference room 102
yoga activity,1 pm,tuesday,-,-,-
dinner,5 pm,monday,-,-,-
medicine,7 pm,tuesday,-,-,-
swimming activity,2 pm,friday,-,-,-
football activity,3 pm,friday,-,-,-
dentist appointment,11 am,tuesday,-,-,-
doctor appointment,11 am,friday,-,-,-
conference,2 pm,thursday,executive team,discuss the company picnic,100 conference room
medicine,2 pm,monday,-,-,-
lab appointment,10 am,wednesday,-,-,-
swimming activity,7 pm,wednesday,-,-,-
dinner,5 pm,monday,-,-,-
yoga activity,3 pm,thursday,-,-,-
dentist,1 pm,monday,-,-,-
doctor appointment,1 pm,tuesday,-,-,-
conference,10 am,thursday,executive team,go over budget,conference room 100
dinner,5 pm,thursday,-,-,-
football activity,10 am,wednesday,-,-,-
conference,2 pm,tuesday,infrastructure team,go over budget,conference room 100
dentist,2 pm,thursday,-,-,-
meeting,1 pm,wednesday,sales team,discuss the merger,100 conference room
yoga activity,10 am,wednesday,-,-,-
taking medicine,2pm,wednesday,aunt,-,-
football activity,10am,the 13th,Jon,-,-
optometrist appointment,1pm,the 4th,Alex,-,-
doctor appointment,4pm,friday,Marie,-,-
swimming activity,3pm,thursday,sister,-,-
tennis activity,7pm,thursday,sister,-,-
conference,11 am,thursday,infrastructure team,go over budget,conference room 100
swimming activity,10 am,friday,-,-,-
tennis activity,3 pm,thursday,-,-,-
dinner,5 pm,wednesday,-,-,-
lab appointment,7 pm,wednesday,-,-,-
dentist appointment,10 am,monday,-,-,-
meeting,7pm,the 9th,HR,discuss the company picnic,conference room 50
yoga activity,6pm,the 14th,sister,-,-
football activity,4pm,the 9th,mother,-,-
dinner,7pm,the 12th,Marie,-,-
doctor appointment,9am,saturday,father,-,-
dentist appointment,11am,the 12th,mother,-,-
meeting,10am,friday,executive team,discuss the merger,conference room 100
dinner,6pm,the 19th,Ana,-,-
football activity,11 am,friday,-,-,-
optometrist appointment,7 pm,monday,-,-,-
medicine,1 pm,tuesday,-,-,-
yoga activity,10 am,wednesday,-,-,-
swimming activity,7 pm,wednesday,-,-,-
dentist,2 pm,friday,-,-,-
doctor appointment,2pm,the 5th,sister,-,-
lab appointment,3pm,monday,sister,-,-
dinner,5pm,sunday,brother,-,-
football activity,11am,sunday,Marie,-,-
tennis activity,6pm,thursday,father,-,-
meeting,4pm,monday,HR,discuss the merger,conference room 102
optometrist appointment,2 pm,thursday,-,-,-
tennis activity,1 pm,friday,-,-,-
dentist,3 pm,tuesday,-,-,-
doctor appointment,11 am,monday,-,-,-
dentist appointment,11 am,monday,-,-,-
yoga activity,7 pm,wednesday,-,-,-
conference,3 pm,thursday,HR,discuss the merger,conference room 100
dentist,2 pm,thursday,-,-,-
dinner,5 pm,monday,-,-,-
medicine,3 pm,thursday,-,-,-
swimming activity,2 pm,friday,-,-,-
yoga activity,1 pm,tuesday,-,-,-
doctor appointment,10 am,wednesday,-,-,-
yoga activity,2 pm,monday,-,-,-
lab appointment,7 pm,friday,-,-,-
dentist appointment,1 pm,tuesday,-,-,-
conference,11 am,wednesday,executive team,discuss the company picnic,conference room 102
meeting,3 pm,friday,sales team,discuss the company picnic,conference room 100
yoga activity,3pm,the 4th,sister,-,-
doctor appointment,1pm,sunday,Alex,-,-
dentist appointment,2pm,friday,aunt,-,-
football activity,10am,monday,Martha,-,-
optometrist appointment,11am,wednesday,Jeff,-,-
lab appointment,3pm,sunday,Marie,-,-
football activity,1pm,the 8th,aunt,-,-
football activity,9am,sunday,sister,-,-
dinner,7pm,the 15th,aunt,-,-
dinner,7pm,the 16th,mother,-,-
meeting,6pm,the 17th,HR,sign the NDA,conference room 100
doctor appointment,2pm,the 14th,mother,-,-
meeting,6pm,friday,sales team,discuss the company picnic,conference room 100
taking medicine,3pm,the 8th,brother,-,-
conference,9am,the 6th,executive team,discuss the company picnic,conference room 50
dinner,8pm,the 15th,Tom,-,-
doctor appointment,11am,the 17th,aunt,-,-
yoga activity,1pm,the 14th,Ana,-,-
swimming activity,6pm,thursday,father,-,-
conference,5pm,friday,HR,discuss dress code,conference room 50
dentist appointment,6pm,the 13th,Martha,-,-
optometrist appointment,11am,the 18th,Jeff,-,-
lab appointment,7pm,the 14th,sister,-,-
yoga activity,11am,the 3rd,brother,-,-
dentist appointment,11 am,monday,-,-,-
lab appointment,10 am,friday,-,-,-
medicine,10 am,tuesday,-,-,-
doctor appointment,1 pm,thursday,-,-,-
conference,7 pm,thursday,executive team,discuss the merger,conference room 102
meeting,1 pm,monday,HR,go over budget,100 conference room
football activity,5pm,the 4th,Jeff,-,-
conference,3pm,the 20th,management,go over quarterly report,conference room 50
football activity,4pm,saturday,Jeff,-,-
football activity,11am,the 7th,Martha,-,-
taking medicine,6pm,monday,aunt,-,-
dentist appointment,7pm,thursday,Jeff,-,-
dinner,5pm,the 16th,Tom,-,-
dentist appointment,3pm,the 6th,brother,-,-
optometrist appointment,3pm,sunday,Martha,-,-
conference,9am,the 10th,HR,discuss the merger,100 conference room
conference,7pm,the 8th,management,discuss the merger,conference room 100
optometrist appointment,9am,the 8th,Marie,-,-
doctor appointment,4pm,the 3rd,Martha,-,-
dentist appointment,5pm,the 8th,brother,-,-
dinner,7pm,wednesday,Marie,-,-
lab appointment,7pm,the 10th,aunt,-,-
meeting,10 am,tuesday,sales team,discuss the merger,100 conference room
lab appointment,3 pm,tuesday,-,-,-
tennis activity,3 pm,friday,-,-,-
swimming activity,11 am,tuesday,-,-,-
optometrist appointment,3 pm,friday,-,-,-
dentist,1 pm,thursday,-,-,-
taking medicine,5pm,the 7th,brother,-,-
meeting,7pm,the 11th,HR,discuss the merger,100 conference room
swimming activity,3pm,saturday,Jon,-,-
yoga activity,3pm,friday,Jeff,-,-
taking medicine,4pm,monday,Alex,-,-
swimming activity,11am,wednesday,aunt,-,-
taking medicine,1pm,the 8th,Jeff,-,-
dinner,6pm,monday,Tom,-,-
taking medicine,3pm,the 3rd,Tom,-,-
dentist appointment,5pm,the 19th,Jon,-,-
meeting,5pm,the 5th,HR,go over quarterly report,100 conference room
swimming activity,4pm,tuesday,Marie,-,-
taking medicine,5pm,saturday,brother,-,-
conference,10am,saturday,HR,go over budget,conference room 50
yoga activity,10am,the 14th,Martha,-,-
taking medicine,7pm,the 17th,sister,-,-
optometrist appointment,2 pm,tuesday,-,-,-
football activity,1 pm,wednesday,-,-,-
conference,11 am,friday,infrastructure team,discuss the company picnic,conference room 102
lab appointment,3 pm,wednesday,-,-,-
meeting,2 pm,friday,sales team,discuss the company picnic,100 conference room
dentist,10 am,thursday,-,-,-
dinner,5 pm,thursday,-,-,-
optometrist appointment,7 pm,tuesday,-,-,-
conference,10 am,monday,executive team,go over budget,conference room 102
dentist appointment,10 am,monday,-,-,-
medicine,1 pm,monday,-,-,-
dentist,1 pm,wednesday,-,-,-
taking medicine,5pm,sunday,father,-,-
dinner,5pm,saturday,sister,-,-
football activity,5pm,the 4th,Tom,-,-
doctor appointment,6pm,sunday,Jeff,-,-
meeting,4pm,the 10th,executive team,discuss dress code,conference room 102
dinner,6pm,thursday,mother,-,-
dentist appointment,11am,the 3rd,Alex,-,-
doctor appointment,2pm,the 4th,Tom,-,-
optometrist appointment,3 pm,friday,-,-,-
dentist,11 am,thursday,-,-,-
dinner,5 pm,monday,-,-,-
swimming activity,3 pm,tuesday,-,-,-
lab appointment,10 am,monday,-,-,-
doctor appointment,7 pm,thursday,-,-,-
dinner,5pm,the 13th,Tom,-,-
swimming activity,3pm,wednesday,Martha,-,-
dentist appointment,2pm,monday,Jon,-,-
meeting,5pm,the 13th,infrastructure team,discuss dress code,conference room 102
yoga activity,9am,wednesday,Jon,-,-
conference,5pm,friday,infrastructure team,discuss the merger,100 conference room
meeting,7pm,the 10th,management,discuss the company picnic,100 conference room
dentist appointment,9am,friday,sister,-,-
lab appointment,4pm,saturday,Martha,-,-
doctor appointment,10am,the 10th,aunt,-,-
yoga activity,2pm,the 13th,father,-,-
lab appointment,6pm,sunday,Ana,-,-
football activity,6pm,saturday,brother,-,-
dentist appointment,3pm,the 8th,aunt,-,-
yoga activity,2pm,wednesday,brother,-,-
doctor appointment,10am,wednesday,Jon,-,-
tennis activity,9am,tuesday,Marie,-,-
dentist appointment,3pm,tuesday,aunt,-,-
conference,2pm,friday,HR,discuss dress code,100 conference room
dinner,6pm,friday,aunt,-,-
doctor appointment,6pm,the 4th,Jeff,-,-
tennis activity,3pm,thursday,Alex,-,-
optometrist appointment,4pm,thursday,brother,-,-
lab appointment,7pm,the 3rd,sister,-,-
